natCapacity msgLatency
1 1
41 43
81 42
121 43
161 42
201 42
241 42
281 53
321 48
361 42
401 41
441 42
481 42
521 42
561 43
601 42
641 42
681 42
721 42
761 49
801 47
841 43
881 42
921 42
961 43
1001 42
1041 41
1081 43
1121 42
1161 43
1201 43
1241 52
1281 45
1321 45
1361 42
1401 42
1441 43
1481 42
1521 42
1561 42
1601 56
1641 42
1681 42
1721 56
1761 43
1801 43
1841 43
1881 43
1921 42
1961 42
2001 42
2041 43
2081 43
2121 43
2161 55
2201 45
2241 42
2281 42
2321 43
2361 42
2401 43
2441 41
2481 43
2521 42
2561 43
2601 54
2641 43
2681 41
2721 42
2761 42
2801 41
2841 41
2881 41
2921 44
2961 42
3001 42
3041 53
3081 42
3121 42
3161 41
3201 42
3241 42
3281 43
3321 42
3361 42
3401 43
3441 42
3481 42
3521 53
3561 46
3601 43
3641 43
3681 42
3721 42
3761 41
3801 41
3841 42
3881 42
3921 42
3961 42
4001 49
4041 46
4081 43
4121 42
4161 42
4201 42
4241 42
4281 42
4321 42
4361 41
4401 42
4441 42
4481 51
4521 46
4561 41
4601 43
4641 43
4681 42
4721 42
4761 42
4801 43
4841 42
4881 43
4921 44
4961 54
5001 42
5041 42
5081 43
5121 42
5161 41
5201 42
5241 42
5281 42
5321 42
5361 41
5401 46
5441 48
5481 43
5521 42
5561 42
5601 43
5641 42
5681 43
5721 42
5761 43
5801 43
5841 42
5881 48
5921 50
5961 41
6001 42
6040 63
6080 43
6120 42
6160 42
6200 42
6240 42
6280 43
6320 42
6360 51
6400 46
6440 42
6480 42
6520 42
6560 42
6600 42
6640 42
6680 42
6720 42
6760 43
6800 42
6840 54
6880 44
6920 42
6960 42
7000 42
7040 42
7080 41
7120 42
7160 42
7200 42
7240 42
7280 50
7320 49
7360 42
7400 42
7440 42
7480 42
7520 43
7560 42
7600 42
7640 43
7680 42
7720 42
7760 44
7800 58
7840 41
7880 42
7920 41
7960 41
8000 43
8040 42
8080 41
8120 41
8160 42
8200 41
8240 42
8280 53
8320 42
8360 41
8400 42
8440 43
8480 42
8520 43
8560 43
8600 42
8640 43
8680 43
8720 42
8760 52
8800 43
8840 41
8880 42
8920 42
8960 43
8993 42
9026 42
9051 42
9059 42
9090 42
9122 42
9150 42
9177 56
9200 43
9221 42
9252 42
9280 42
9313 41
9345 41
9371 41
9401 43
9438 44
9459 41
9467 41
9490 53
9520 46
9550 42
9582 42
9613 42
9651 42
9673 42
