natCapacity msgLatency
1 0
41 9
81 9
121 10
161 8
201 8
241 10
281 9
321 9
361 9
401 9
441 9
481 9
521 9
561 9
601 10
641 8
681 8
721 9
761 9
801 9
841 9
881 9
921 9
961 10
1001 9
1041 9
1081 9
1121 8
1161 9
1201 9
1241 9
1281 9
1321 9
1361 9
1401 9
1441 10
1481 9
1521 9
1561 9
1601 8
1641 9
1681 9
1721 9
1761 9
1801 10
1841 9
1881 9
1921 9
1961 9
2001 9
2041 9
2081 9
2121 9
2161 10
2201 9
2241 9
2281 10
2321 9
2361 9
2401 9
2441 9
2481 8
2521 9
2561 9
2601 9
2641 9
2681 9
2721 10
2761 9
2801 9
2841 9
2881 10
2921 8
2961 8
3001 10
3041 9
3081 9
3121 9
3161 9
3201 9
3241 9
3281 9
3321 9
3361 9
3401 7
3441 9
3481 10
3521 9
3561 9
3601 9
3641 9
3681 9
3721 10
3761 9
3801 9
3841 9
3881 7
3921 9
3961 9
4001 9
4041 9
4081 9
4121 9
4161 10
4201 10
4241 9
4281 9
4321 10
4361 8
4401 8
4441 10
4481 9
4521 9
4561 10
4601 9
4641 9
4681 10
4721 9
4761 9
4801 9
4841 9
4881 10
4921 10
4961 9
5001 9
5041 10
5081 9
5121 9
5161 9
5201 9
5241 9
5281 8
5321 9
5361 9
5401 9
5441 9
5481 9
5521 10
5561 9
5601 9
5641 10
5681 9
5721 8
5761 9
5801 9
5841 9
5881 10
5921 9
5961 9
6001 10
6041 9
6081 9
6121 10
6161 9
6201 8
6241 9
6281 9
6321 9
6361 10
6401 9
6441 9
6481 10
6521 9
6561 9
6601 9
6641 8
6681 9
6721 10
6761 9
6801 9
6841 10
6881 9
6921 10
6961 10
7001 9
7041 9
7081 9
7121 8
7161 9
7201 9
7241 9
7281 9
7321 10
7361 9
7401 9
7441 9
7481 9
7521 9
7561 8
7601 10
7641 9
7681 10
7721 9
7761 9
7801 9
7841 9
7881 9
7921 10
7961 9
8001 9
8041 8
8081 8
8121 9
8161 10
8201 9
8241 9
8281 10
8321 9
8361 9
8401 10
8441 9
8481 9
8521 8
8561 8
8601 10
8641 10
8681 9
8721 9
8761 10
8801 9
8841 9
8881 10
8921 9
8961 9
8993 8
9006 9
9006 9
9007 10
9008 9
9024 9
9053 10
9092 9
9125 9
9161 10
9201 9
9228 8
9249 9
9274 9
9310 9
9341 10
9361 9
9365 9
9392 10
9430 9
9456 9
9482 10
9522 9
9556 7
9596 9
