natCapacity msgLatency
1 0
41 2
81 1
121 2
161 1
201 1
241 2
281 1
321 1
361 2
401 1
441 2
481 1
521 1
561 1
601 2
641 1
681 2
721 1
761 1
801 2
841 2
881 1
921 1
961 2
1001 1
1041 1
1081 2
1121 1
1161 1
1201 2
1241 1
1281 1
1321 1
1361 2
1401 1
1441 2
1481 2
1521 2
1561 2
1601 2
1641 2
1681 2
1721 2
1761 1
1801 2
1841 2
1881 1
1921 1
1961 1
2001 1
2041 1
2081 1
2121 1
2161 2
2201 1
2241 1
2281 2
2321 1
2361 1
2401 2
2441 1
2481 1
2521 1
2561 2
2601 1
2641 1
2681 1
2721 1
2761 2
2801 2
2841 1
2881 1
2921 2
2961 1
3001 1
3041 1
3081 1
3121 1
3161 1
3201 2
3241 2
3281 1
3321 1
3361 1
3401 1
3441 1
3481 2
3521 2
3561 1
3601 2
3641 1
3681 1
3721 2
3761 1
3801 1
3841 1
3881 2
3921 2
3961 1
4001 1
4041 1
4081 2
4121 1
4161 2
4201 2
4241 1
4281 1
4321 2
4361 1
4401 1
4441 2
4481 1
4521 1
4561 2
4601 1
4641 1
4681 1
4721 1
4761 1
4801 1
4841 2
4881 1
4921 1
4961 1
5001 1
5041 1
5081 1
5121 2
5161 1
5201 1
5241 1
5281 1
5321 1
5361 1
5401 2
5441 1
5481 1
5521 2
5561 1
5601 1
5641 2
5681 2
5721 1
5761 2
5801 2
5841 1
5881 2
5921 1
5961 2
6001 2
6041 1
6081 1
6121 1
6161 2
6201 2
6241 1
6281 2
6321 1
6361 2
6401 1
6441 2
6481 1
6521 2
6561 2
6601 2
6641 1
6681 1
6721 2
6761 1
6801 1
6841 1
6881 1
6921 1
6961 2
7001 1
7041 1
7081 2
7121 1
7161 1
7201 2
7241 1
7281 1
7321 1
7361 2
7401 2
7441 1
7481 2
7521 2
7561 2
7601 2
7641 2
7681 1
7721 2
7761 2
7801 1
7841 2
7881 1
7921 1
7961 1
8001 2
8041 2
8081 1
8121 2
8161 2
8201 1
8241 1
8281 2
8321 2
8361 2
8401 2
8441 1
8481 1
8521 1
8561 2
8601 1
8641 2
8681 2
8721 2
8761 2
8801 1
8841 1
8881 1
8921 1
8961 1
8986 2
9010 1
9033 1
9041 2
9049 1
9078 2
9116 1
9148 2
9173 2
9185 2
9199 2
9207 1
9222 1
9253 2
9278 2
9313 2
9335 2
9352 2
9368 2
9389 2
9420 1
9454 1
9482 2
9509 2
9536 2
